"V1","V2","V3"
1,102.03,95.5710234416945
2,28.56,31.1042412904595
3,1.55,1.45
4,6.4,3.13214486403499
5,8.78,8.26
6,104.33,105.641444134856
7,57.78,62.6696101853419
8,6,6
9,15.73,11.0307497177109
10,19.37,18.9869009926256
11,22.35,18.8021207739839
12,78.77,78.4697463745659
13,110.94,68.5931938063614
14,316.79,294.617292234205
15,144.86,144.689836475824
16,54.02,63.8767674050187
17,12.46,6.91904328083602
18,108.93,89.5338522612123
19,4.96,4.69
20,35.51,34.7673718327989
21,1.36,1.11
22,8.49,1.47441174820894
23,22.14,19.5077566268077
24,78.87,94.3933555273157
25,41.68,39.1332927915885
26,218.53,235.875803263909
27,19.56,18.2345198950638
28,24.76,23.8741234144488
29,150.83,152.643241508809
30,3.37,3.3
31,14.05,11.8917021264796
32,25.97,20.151411614383
33,261.25,263.978732517449
34,76.31,80.1679814530757
35,6.3,5.91
36,12.96,7.88302277670638
37,1.95,1.95
38,75.09,71.2208976597163
39,28.61,9.21073286622428
40,98.86,96.6404550709817
41,7.5,1.69722269041662
42,13.1,9.33490140120792
43,6.42,6.25
44,6.28,4.55
45,27.61,23.8608696223617
46,96.65,93.206689112134
47,78.77,73.6641606062197
48,25.16,23.2671972982529
49,22.4,17.874673017017
50,16.32,8.91512959042506
51,93.81,96.4545800010932
52,72.91,78.3853877574811
53,50.06,35.137446089201
54,32.35,30.6609309417881
55,19.47,20.7327125145299
56,35.18,36.1545126866895
57,23.46,29.9598745048781
58,50.69,51.1271868750094
59,28.81,24.9461590655849
60,47.45,50.9099059845088
61,110,104.628372621793
62,4.83,4.43
63,75.23,81.0982444872444
64,55.48,61.3368576203168
65,10.77,7.96
66,11.22,9.66
67,44.5,38.0436390153838
68,5.23,4.97
69,108.05,109.027471837878
70,20.3,14.7294942462846
71,31.43,25.2710226509844
72,77.3,60.9542956486879
73,48.58,32.7480903075659
74,23.31,18.9062329389667
75,24.75,23.8896124530133
76,30.16,32.5130339356353
77,6.1,4.25
78,198.63,194.19101379289
79,5.03,3.95
80,11.55,7.45
81,48,54.6083657522443
82,20.43,17.8642441948896
83,67.21,48.9476444343295
84,18.31,13.1433940092237
85,21.7,18.7022787567604
86,29.25,26.0240903420034
87,2.8,2.8
88,50.1,55.0105447588434
89,77.78,77.9339996998984
90,324.27,281.449327771447
91,16.81,14.8352070489478
92,56.38,29.4837196980582
93,58.09,54.601242635614
94,58.94,51.804107720193
95,96.34,101.316260113621
96,45.99,45.7203443425195
97,27.87,25.0997349047365
98,2.95,2.95
99,40.62,46.0309014987643
100,1.95,1.95
101,151.09,114.85079760517
102,37.16,40.4560160789694
103,20.19,19.2344598665847
104,20.92,18.3384707702339
105,12.77,12.16
106,38.26,43.3776350770133
107,36.91,29.9725035783774
108,185.83,154.686653635817
109,6.91,6.68559941854648
110,14.34,14.1
