"","start","X2.States."
"1",2014-05-01,95
"2",2014-05-02,85
"3",2014-05-03,100
"4",2014-05-04,91
"5",2014-05-05,66
"6",2014-05-06,67
"7",2014-05-07,67
"8",2014-05-08,67
"9",2014-05-09,73
"10",2014-05-10,83
"11",2014-05-11,79
"12",2014-05-12,59
"13",2014-05-13,59
"14",2014-05-14,49
"15",2014-05-15,52
"16",2014-05-16,55
"17",2014-05-17,67
"18",2014-05-18,62
"19",2014-05-19,39
"20",2014-05-20,38
"21",2014-05-21,38
"22",2014-05-22,42
"23",2014-05-23,45
"24",2014-05-24,54
"25",2014-05-25,52
"26",2014-05-26,37
"27",2014-05-27,35
"28",2014-05-28,35
"29",2014-05-29,28
"30",2014-05-30,28
"31",2014-05-31,34
