"start","end","X300.Rise.of.an.Empire."
2013-06-02,2013-06-08,1
2013-06-09,2013-06-15,17
2013-06-16,2013-06-22,7
2013-06-23,2013-06-29,4
2013-06-30,2013-07-06,4
2013-07-07,2013-07-13,5
2013-07-14,2013-07-20,5
2013-07-21,2013-07-27,4
2013-07-28,2013-08-03,4
2013-08-04,2013-08-10,4
2013-08-11,2013-08-17,4
2013-08-18,2013-08-24,3
2013-08-25,2013-08-31,3
2013-09-01,2013-09-07,3
2013-09-08,2013-09-14,3
2013-09-15,2013-09-21,3
2013-09-22,2013-09-28,3
2013-09-29,2013-10-05,3
2013-10-06,2013-10-12,2
2013-10-13,2013-10-19,2
2013-10-20,2013-10-26,2
2013-10-27,2013-11-02,2
2013-11-03,2013-11-09,2
2013-11-10,2013-11-16,2
2013-11-17,2013-11-23,2
2013-11-24,2013-11-30,2
2013-12-01,2013-12-07,5
2013-12-08,2013-12-14,3
2013-12-15,2013-12-21,3
2013-12-22,2013-12-28,3
2013-12-29,2014-01-04,4
2014-01-05,2014-01-11,4
2014-01-12,2014-01-18,4
2014-01-19,2014-01-25,11
2014-01-26,2014-02-01,5
2014-02-02,2014-02-08,6
2014-02-09,2014-02-15,9
2014-02-16,2014-02-22,14
2014-02-23,2014-03-01,20
2014-03-02,2014-03-08,77
2014-03-09,2014-03-15,100
2014-03-16,2014-03-22,56
2014-03-23,2014-03-29,51
2014-03-30,2014-04-05,33
2014-04-06,2014-04-12,25
2014-04-13,2014-04-19,21
2014-04-20,2014-04-26,17
2014-04-27,2014-05-03,15
2014-05-04,2014-05-10,12
2014-05-11,2014-05-17,12
2014-05-18,2014-05-24,11
2014-05-25,2014-05-31,11
2014-06-01,2014-06-07,22
2014-06-08,2014-06-14,19
2014-06-15,2014-06-21,15
2014-06-22,2014-06-28,19
2014-06-29,2014-07-05,15
2014-07-06,2014-07-12,13
2014-07-13,2014-07-19,11
2014-07-20,2014-07-26,12
2014-07-27,2014-08-02,12
2014-08-03,2014-08-09,10
2014-08-10,2014-08-16,8
2014-08-17,2014-08-23,7
2014-08-24,2014-08-30,6
2014-08-31,2014-09-06,6
2014-09-07,2014-09-13,5
2014-09-14,2014-09-20,5
2014-09-21,2014-09-27,5
2014-09-28,2014-10-04,5
2014-10-05,2014-10-11,5
2014-10-12,2014-10-18,4
2014-10-19,2014-10-25,4
2014-10-26,2014-11-01,4
2014-11-02,2014-11-08,3
2014-11-09,2014-11-15,5
2014-11-16,2014-11-22,4
2014-11-23,2014-11-29,5
2014-11-30,2014-12-06,4
2014-12-07,2014-12-13,4
2014-12-14,2014-12-20,4
2014-12-21,2014-12-27,5
2014-12-28,2015-01-03,5
2015-01-04,2015-01-10,4
2015-01-11,2015-01-17,4
2015-01-18,2015-01-24,4
2015-01-25,2015-01-31,6
2015-02-01,2015-02-07,4
2015-02-08,2015-02-14,4
2015-02-15,2015-02-21,4
2015-02-22,2015-02-28,3
2015-03-01,2015-03-07,3
2015-03-08,2015-03-14,3
2015-03-15,2015-03-21,3
2015-03-22,2015-03-28,2
2015-03-29,2015-04-04,2
2015-04-05,2015-04-11,3
2015-04-12,2015-04-18,3
2015-04-19,2015-04-25,3
2015-04-26,2015-05-02,2
2015-05-03,2015-05-09,2
2015-05-10,2015-05-16,2
2015-05-17,2015-05-23,2
2015-05-24,2015-05-30,2
2015-05-31,2015-06-06,2
2015-06-07,2015-06-13,2
2015-06-14,2015-06-20,2
2015-06-21,2015-06-27,2
2015-06-28,2015-07-04,2
2015-07-05,2015-07-11,2
2015-07-12,2015-07-18,2
2015-07-19,2015-07-25,3
2015-07-26,2015-08-01,2
2015-08-02,2015-08-08,2
2015-08-09,2015-08-15,2
2015-08-16,2015-08-22,2
2015-08-23,2015-08-29,2
2015-08-30,2015-09-05,2
2015-09-06,2015-09-12,2
2015-09-13,2015-09-19,2
2015-09-20,2015-09-26,2
2015-09-27,2015-10-03,2
2015-10-04,2015-10-10,2
2015-10-11,2015-10-17,2
2015-10-18,2015-10-24,2
2015-10-25,2015-10-31,2
2015-11-01,2015-11-07,2
2015-11-08,2015-11-14,2
2015-11-15,2015-11-21,2
2015-11-22,2015-11-28,2
2015-11-29,2015-12-05,2
2015-12-06,2015-12-12,2
2015-12-13,2015-12-19,2
2015-12-20,2015-12-26,2
2015-12-27,2016-01-02,2
2016-01-03,2016-01-09,2
2016-01-10,2016-01-16,2
2016-01-17,2016-01-23,2
2016-01-24,2016-01-30,1
2016-01-31,2016-02-06,2
2016-02-07,2016-02-13,2
2016-02-14,2016-02-20,1
2016-02-21,2016-02-27,1
2016-02-28,2016-03-05,2
2016-03-06,2016-03-12,1
2016-03-13,2016-03-19,1
2016-03-20,2016-03-26,1
2016-03-27,2016-04-02,1
2016-04-03,2016-04-09,1
2016-04-10,2016-04-16,1
2016-04-17,2016-04-23,1
