"start","end","ABCD.2."
2015-06-07,2015-06-13,47
2015-06-14,2015-06-20,84
2015-06-21,2015-06-27,100
2015-06-28,2015-07-04,66
2015-07-05,2015-07-11,45
2015-07-12,2015-07-18,35
2015-07-19,2015-07-25,29
2015-07-26,2015-08-01,24
2015-08-02,2015-08-08,20
2015-08-09,2015-08-15,20
2015-08-16,2015-08-22,17
2015-08-23,2015-08-29,14
2015-08-30,2015-09-05,13
2015-09-06,2015-09-12,11
2015-09-13,2015-09-19,10
2015-09-20,2015-09-26,10
2015-09-27,2015-10-03,9
2015-10-04,2015-10-10,10
2015-10-11,2015-10-17,10
2015-10-18,2015-10-24,8
2015-10-25,2015-10-31,6
2015-11-01,2015-11-07,5
2015-11-08,2015-11-14,6
2015-11-15,2015-11-21,7
2015-11-22,2015-11-28,7
2015-11-29,2015-12-05,8
2015-12-06,2015-12-12,7
2015-12-13,2015-12-19,5
2015-12-20,2015-12-26,6
2015-12-27,2016-01-02,6
2016-01-03,2016-01-09,5
2016-01-10,2016-01-16,6
2016-01-17,2016-01-23,6
2016-01-24,2016-01-30,5
2016-01-31,2016-02-06,4
2016-02-07,2016-02-13,4
2016-02-14,2016-02-20,4
2016-02-21,2016-02-27,4
2016-02-28,2016-03-05,4
2016-03-06,2016-03-12,4
2016-03-13,2016-03-19,4
2016-03-20,2016-03-26,4
2016-03-27,2016-04-02,3
