"","start","ABCD.2."
"1",2015-08-01,98
"2",2015-08-02,94
"3",2015-08-03,65
"4",2015-08-04,62
"5",2015-08-05,65
"6",2015-08-06,65
"7",2015-08-07,70
"8",2015-08-08,90
"9",2015-08-09,84
"10",2015-08-10,58
"11",2015-08-11,59
"12",2015-08-12,61
"13",2015-08-13,65
"14",2015-08-14,72
"15",2015-08-15,100
"16",2015-08-16,90
"17",2015-08-17,54
"18",2015-08-18,52
"19",2015-08-19,51
"20",2015-08-20,49
"21",2015-08-21,52
"22",2015-08-22,69
"23",2015-08-23,72
"24",2015-08-24,42
"25",2015-08-25,40
"26",2015-08-26,41
"27",2015-08-27,42
"28",2015-08-28,51
"29",2015-08-29,62
"30",2015-08-30,58
"31",2015-08-31,38
