"","start","Aatma."
"1",2013-04-01,100
"2",2013-04-02,80
"3",2013-04-03,77
"4",2013-04-04,70
"5",2013-04-05,65
"6",2013-04-06,83
"7",2013-04-07,69
"8",2013-04-08,48
"9",2013-04-09,44
"10",2013-04-10,46
"11",2013-04-11,47
"12",2013-04-12,46
"13",2013-04-13,52
"14",2013-04-14,51
"15",2013-04-15,30
"16",2013-04-16,32
"17",2013-04-17,31
"18",2013-04-18,39
"19",2013-04-19,41
"20",2013-04-20,50
"21",2013-04-21,40
"22",2013-04-22,31
"23",2013-04-23,31
"24",2013-04-24,27
"25",2013-04-25,24
"26",2013-04-26,24
"27",2013-04-27,35
"28",2013-04-28,34
"29",2013-04-29,29
"30",2013-04-30,23
