"start","end","Action.Jackson."
2014-10-05,2014-10-11,2
2014-10-12,2014-10-18,2
2014-10-19,2014-10-25,11
2014-10-26,2014-11-01,11
2014-11-02,2014-11-08,17
2014-11-09,2014-11-15,17
2014-11-16,2014-11-22,19
2014-11-23,2014-11-29,25
2014-11-30,2014-12-06,81
2014-12-07,2014-12-13,100
2014-12-14,2014-12-20,49
2014-12-21,2014-12-27,31
2014-12-28,2015-01-03,21
2015-01-04,2015-01-10,14
2015-01-11,2015-01-17,11
2015-01-18,2015-01-24,9
2015-01-25,2015-01-31,8
2015-02-01,2015-02-07,8
2015-02-08,2015-02-14,7
2015-02-15,2015-02-21,7
2015-02-22,2015-02-28,7
2015-03-01,2015-03-07,7
2015-03-08,2015-03-14,7
2015-03-15,2015-03-21,10
2015-03-22,2015-03-28,8
2015-03-29,2015-04-04,7
2015-04-05,2015-04-11,6
2015-04-12,2015-04-18,4
2015-04-19,2015-04-25,4
2015-04-26,2015-05-02,3
2015-05-03,2015-05-09,3
2015-05-10,2015-05-16,4
2015-05-17,2015-05-23,3
2015-05-24,2015-05-30,4
2015-05-31,2015-06-06,3
2015-06-07,2015-06-13,3
2015-06-14,2015-06-20,3
2015-06-21,2015-06-27,2
2015-06-28,2015-07-04,2
2015-07-05,2015-07-11,3
2015-07-12,2015-07-18,3
2015-07-19,2015-07-25,3
2015-07-26,2015-08-01,2
2015-08-02,2015-08-08,3
2015-08-09,2015-08-15,2
2015-08-16,2015-08-22,2
2015-08-23,2015-08-29,2
2015-08-30,2015-09-05,3
2015-09-06,2015-09-12,2
2015-09-13,2015-09-19,2
2015-09-20,2015-09-26,3
2015-09-27,2015-10-03,2
2015-10-04,2015-10-10,2
2015-10-11,2015-10-17,2
2015-10-18,2015-10-24,2
2015-10-25,2015-10-31,2
2015-11-01,2015-11-07,2
2015-11-08,2015-11-14,2
2015-11-15,2015-11-21,2
2015-11-22,2015-11-28,2
2015-11-29,2015-12-05,2
2015-12-06,2015-12-12,2
2015-12-13,2015-12-19,2
2015-12-20,2015-12-26,2
2015-12-27,2016-01-02,2
2016-01-03,2016-01-09,2
2016-01-10,2016-01-16,2
2016-01-17,2016-01-23,2
2016-01-24,2016-01-30,2
2016-01-31,2016-02-06,1
2016-02-07,2016-02-13,1
2016-02-14,2016-02-20,2
2016-02-21,2016-02-27,2
2016-02-28,2016-03-05,2
2016-03-06,2016-03-12,2
2016-03-13,2016-03-19,1
2016-03-20,2016-03-26,1
2016-03-27,2016-04-02,1
