"start","end","All.Is.Well."
2015-08-02,2015-08-08,68
2015-08-09,2015-08-15,72
2015-08-16,2015-08-22,100
2015-08-23,2015-08-29,99
2015-08-30,2015-09-05,64
2015-09-06,2015-09-12,44
2015-09-13,2015-09-19,32
2015-09-20,2015-09-26,28
2015-09-27,2015-10-03,23
2015-10-04,2015-10-10,20
2015-10-11,2015-10-17,19
2015-10-18,2015-10-24,15
2015-10-25,2015-10-31,15
2015-11-01,2015-11-07,17
2015-11-08,2015-11-14,19
2015-11-15,2015-11-21,14
2015-11-22,2015-11-28,12
2015-11-29,2015-12-05,11
2015-12-06,2015-12-12,11
2015-12-13,2015-12-19,10
2015-12-20,2015-12-26,10
2015-12-27,2016-01-02,9
2016-01-03,2016-01-09,10
2016-01-10,2016-01-16,8
2016-01-17,2016-01-23,8
2016-01-24,2016-01-30,8
2016-01-31,2016-02-06,7
2016-02-07,2016-02-13,6
2016-02-14,2016-02-20,6
2016-02-21,2016-02-27,7
2016-02-28,2016-03-05,6
2016-03-06,2016-03-12,6
2016-03-13,2016-03-19,6
2016-03-20,2016-03-26,6
2016-03-27,2016-04-02,6
