"","start","All.Is.Well."
"1",2015-10-01,89
"2",2015-10-02,92
"3",2015-10-03,100
"4",2015-10-04,98
"5",2015-10-05,75
"6",2015-10-06,75
"7",2015-10-07,76
"8",2015-10-08,74
"9",2015-10-09,75
"10",2015-10-10,89
"11",2015-10-11,96
"12",2015-10-12,82
"13",2015-10-13,78
"14",2015-10-14,73
"15",2015-10-15,71
"16",2015-10-16,71
"17",2015-10-17,80
"18",2015-10-18,74
"19",2015-10-19,60
"20",2015-10-20,59
"21",2015-10-21,57
"22",2015-10-22,61
"23",2015-10-23,62
"24",2015-10-24,67
"25",2015-10-25,66
"26",2015-10-26,56
"27",2015-10-27,62
"28",2015-10-28,56
"29",2015-10-29,58
"30",2015-10-30,63
"31",2015-10-31,76
