"start","end","Alone."
2014-12-07,2014-12-13,57
2014-12-14,2014-12-20,63
2014-12-21,2014-12-27,100
2014-12-28,2015-01-03,73
2015-01-04,2015-01-10,54
2015-01-11,2015-01-17,67
2015-01-18,2015-01-24,75
2015-01-25,2015-01-31,57
2015-02-01,2015-02-07,49
2015-02-08,2015-02-14,47
2015-02-15,2015-02-21,46
2015-02-22,2015-02-28,42
2015-03-01,2015-03-07,41
2015-03-08,2015-03-14,41
2015-03-15,2015-03-21,40
2015-03-22,2015-03-28,41
2015-03-29,2015-04-04,44
2015-04-05,2015-04-11,43
2015-04-12,2015-04-18,41
2015-04-19,2015-04-25,41
2015-04-26,2015-05-02,41
2015-05-03,2015-05-09,40
2015-05-10,2015-05-16,39
2015-05-17,2015-05-23,38
2015-05-24,2015-05-30,39
2015-05-31,2015-06-06,38
2015-06-07,2015-06-13,40
2015-06-14,2015-06-20,41
2015-06-21,2015-06-27,41
2015-06-28,2015-07-04,40
2015-07-05,2015-07-11,40
2015-07-12,2015-07-18,41
2015-07-19,2015-07-25,41
2015-07-26,2015-08-01,40
2015-08-02,2015-08-08,41
2015-08-09,2015-08-15,42
2015-08-16,2015-08-22,44
2015-08-23,2015-08-29,39
2015-08-30,2015-09-05,37
2015-09-06,2015-09-12,38
2015-09-13,2015-09-19,36
2015-09-20,2015-09-26,38
2015-09-27,2015-10-03,37
2015-10-04,2015-10-10,38
2015-10-11,2015-10-17,38
2015-10-18,2015-10-24,38
2015-10-25,2015-10-31,39
2015-11-01,2015-11-07,39
2015-11-08,2015-11-14,41
2015-11-15,2015-11-21,41
2015-11-22,2015-11-28,46
2015-11-29,2015-12-05,50
2015-12-06,2015-12-12,50
2015-12-13,2015-12-19,56
2015-12-20,2015-12-26,89
2015-12-27,2016-01-02,55
2016-01-03,2016-01-09,42
2016-01-10,2016-01-16,38
2016-01-17,2016-01-23,39
2016-01-24,2016-01-30,39
2016-01-31,2016-02-06,37
2016-02-07,2016-02-13,38
2016-02-14,2016-02-20,38
2016-02-21,2016-02-27,37
2016-02-28,2016-03-05,36
2016-03-06,2016-03-12,37
2016-03-13,2016-03-19,37
2016-03-20,2016-03-26,38
2016-03-27,2016-04-02,39
2016-04-03,2016-04-09,39
2016-04-10,2016-04-16,41
2016-04-17,2016-04-23,39
