"start","Aurangzeb.movie."
2013-04-01,1
2013-04-02,0
2013-04-03,13
2013-04-04,10
2013-04-05,7
2013-04-06,7
2013-04-07,4
2013-04-08,4
2013-04-09,3
2013-04-10,3
2013-04-11,3
2013-04-12,3
2013-04-13,3
2013-04-14,2
2013-04-15,3
2013-04-16,2
2013-04-17,3
2013-04-18,2
2013-04-19,2
2013-04-20,4
2013-04-21,5
2013-04-22,5
2013-04-23,8
2013-04-24,8
2013-04-25,9
2013-04-26,9
2013-04-27,6
2013-04-28,7
2013-04-29,7
2013-04-30,8
2013-05-01,8
2013-05-02,8
2013-05-03,8
2013-05-04,14
2013-05-05,8
2013-05-06,10
2013-05-07,10
2013-05-08,10
2013-05-09,11
2013-05-10,11
2013-05-11,11
2013-05-12,10
2013-05-13,11
2013-05-14,10
2013-05-15,12
2013-05-16,21
2013-05-17,100
2013-05-18,89
2013-05-19,70
2013-05-20,50
2013-05-21,40
2013-05-22,38
2013-05-23,44
2013-05-24,39
2013-05-25,52
2013-05-26,32
2013-05-27,27
2013-05-28,22
2013-05-29,20
2013-05-30,20
2013-05-31,21
