"start","Baby.movie."
2014-12-01,6
2014-12-02,6
2014-12-03,10
2014-12-04,10
2014-12-05,9
2014-12-06,11
2014-12-07,9
2014-12-08,7
2014-12-09,7
2014-12-10,6
2014-12-11,6
2014-12-12,6
2014-12-13,8
2014-12-14,8
2014-12-15,6
2014-12-16,6
2014-12-17,6
2014-12-18,6
2014-12-19,7
2014-12-20,8
2014-12-21,9
2014-12-22,7
2014-12-23,8
2014-12-24,8
2014-12-25,9
2014-12-26,8
2014-12-27,9
2014-12-28,9
2014-12-29,8
2014-12-30,8
2014-12-31,8
2015-01-01,10
2015-01-02,8
2015-01-03,9
2015-01-04,9
2015-01-05,7
2015-01-06,7
2015-01-07,7
2015-01-08,7
2015-01-09,8
2015-01-10,11
2015-01-11,11
2015-01-12,9
2015-01-13,8
2015-01-14,8
2015-01-15,9
2015-01-16,10
2015-01-17,12
2015-01-18,12
2015-01-19,10
2015-01-20,10
2015-01-21,12
2015-01-22,25
2015-01-23,83
2015-01-24,100
2015-01-25,82
2015-01-26,54
2015-01-27,50
2015-01-28,41
2015-01-29,38
2015-01-30,37
2015-01-31,48
