"start","Bahubali..Hindi..movie."
2015-05-01,0
2015-05-02,0
2015-05-03,0
2015-05-04,0
2015-05-05,0
2015-05-06,0
2015-05-07,0
2015-05-08,0
2015-05-09,0
2015-05-10,0
2015-05-11,0
2015-05-12,0
2015-05-13,0
2015-05-14,0
2015-05-15,0
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,0
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,0
2015-05-26,0
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,0
2015-05-31,0
2015-06-01,2
2015-06-02,2
2015-06-03,1
2015-06-04,1
2015-06-05,1
2015-06-06,1
2015-06-07,1
2015-06-08,1
2015-06-09,1
2015-06-10,1
2015-06-11,1
2015-06-12,1
2015-06-13,1
2015-06-14,2
2015-06-15,1
2015-06-16,1
2015-06-17,1
2015-06-18,1
2015-06-19,1
2015-06-20,1
2015-06-21,1
2015-06-22,1
2015-06-23,1
2015-06-24,1
2015-06-25,2
2015-06-26,2
2015-06-27,2
2015-06-28,2
2015-06-29,1
2015-06-30,1
2015-07-01,2
2015-07-02,2
2015-07-03,2
2015-07-04,3
2015-07-05,3
2015-07-06,2
2015-07-07,4
2015-07-08,4
2015-07-09,7
2015-07-10,52
2015-07-11,96
2015-07-12,91
2015-07-13,78
2015-07-14,73
2015-07-15,69
2015-07-16,73
2015-07-17,80
2015-07-18,100
2015-07-19,85
2015-07-20,61
2015-07-21,51
2015-07-22,48
2015-07-23,48
2015-07-24,47
2015-07-25,64
2015-07-26,59
2015-07-27,41
2015-07-28,36
2015-07-29,31
2015-07-30,31
2015-07-31,33
