"start","Bhoot.Returns.movie."
2012-09-01,1
2012-09-02,1
2012-09-03,1
2012-09-04,1
2012-09-05,2
2012-09-06,2
2012-09-07,2
2012-09-08,4
2012-09-09,3
2012-09-10,3
2012-09-11,2
2012-09-12,1
2012-09-13,2
2012-09-14,3
2012-09-15,1
2012-09-16,2
2012-09-17,1
2012-09-18,2
2012-09-19,2
2012-09-20,2
2012-09-21,1
2012-09-22,3
2012-09-23,3
2012-09-24,2
2012-09-25,2
2012-09-26,3
2012-09-27,2
2012-09-28,3
2012-09-29,4
2012-09-30,3
2012-10-01,4
2012-10-02,2
2012-10-03,4
2012-10-04,2
2012-10-05,4
2012-10-06,4
2012-10-07,5
2012-10-08,7
2012-10-09,4
2012-10-10,4
2012-10-11,13
2012-10-12,100
2012-10-13,83
2012-10-14,70
2012-10-15,41
2012-10-16,35
2012-10-17,29
2012-10-18,27
2012-10-19,29
2012-10-20,33
2012-10-21,33
2012-10-22,21
2012-10-23,22
2012-10-24,16
2012-10-25,15
2012-10-26,23
2012-10-27,26
2012-10-28,19
2012-10-29,14
2012-10-30,12
2012-10-31,11
