"start","Daawat.e.Ishq.movie."
2014-07-01,0
2014-07-02,4
2014-07-03,2
2014-07-04,2
2014-07-05,2
2014-07-06,3
2014-07-07,4
2014-07-08,10
2014-07-09,4
2014-07-10,4
2014-07-11,6
2014-07-12,3
2014-07-13,3
2014-07-14,4
2014-07-15,5
2014-07-16,3
2014-07-17,5
2014-07-18,7
2014-07-19,9
2014-07-20,6
2014-07-21,4
2014-07-22,4
2014-07-23,6
2014-07-24,4
2014-07-25,3
2014-07-26,5
2014-07-27,7
2014-07-28,3
2014-07-29,4
2014-07-30,3
2014-07-31,4
2014-08-01,6
2014-08-02,6
2014-08-03,5
2014-08-04,11
2014-08-05,4
2014-08-06,5
2014-08-07,7
2014-08-08,6
2014-08-09,10
2014-08-10,7
2014-08-11,6
2014-08-12,8
2014-08-13,9
2014-08-14,4
2014-08-15,5
2014-08-16,9
2014-08-17,12
2014-08-18,6
2014-08-19,4
2014-08-20,4
2014-08-21,5
2014-08-22,5
2014-08-23,5
2014-08-24,4
2014-08-25,2
2014-08-26,4
2014-08-27,6
2014-08-28,6
2014-08-29,7
2014-08-30,5
2014-08-31,6
2014-09-01,4
2014-09-02,6
2014-09-03,4
2014-09-04,5
2014-09-05,10
2014-09-06,12
2014-09-07,8
2014-09-08,4
2014-09-09,8
2014-09-10,5
2014-09-11,9
2014-09-12,12
2014-09-13,9
2014-09-14,11
2014-09-15,12
2014-09-16,9
2014-09-17,6
2014-09-18,18
2014-09-19,78
2014-09-20,100
2014-09-21,71
2014-09-22,46
2014-09-23,33
2014-09-24,37
2014-09-25,36
2014-09-26,41
2014-09-27,47
2014-09-28,37
2014-09-29,21
2014-09-30,20
