"start","Dabangg.2.movie."
2012-11-01,1
2012-11-02,1
2012-11-03,1
2012-11-04,1
2012-11-05,0
2012-11-06,1
2012-11-07,1
2012-11-08,1
2012-11-09,2
2012-11-10,3
2012-11-11,5
2012-11-12,4
2012-11-13,4
2012-11-14,4
2012-11-15,4
2012-11-16,4
2012-11-17,4
2012-11-18,4
2012-11-19,3
2012-11-20,3
2012-11-21,3
2012-11-22,3
2012-11-23,3
2012-11-24,4
2012-11-25,3
2012-11-26,2
2012-11-27,3
2012-11-28,2
2012-11-29,2
2012-11-30,4
2012-12-01,6
2012-12-02,5
2012-12-03,4
2012-12-04,4
2012-12-05,3
2012-12-06,4
2012-12-07,5
2012-12-08,5
2012-12-09,5
2012-12-10,5
2012-12-11,4
2012-12-12,4
2012-12-13,5
2012-12-14,6
2012-12-15,7
2012-12-16,6
2012-12-17,5
2012-12-18,6
2012-12-19,6
2012-12-20,14
2012-12-21,89
2012-12-22,100
2012-12-23,78
2012-12-24,74
2012-12-25,69
2012-12-26,49
2012-12-27,44
2012-12-28,38
2012-12-29,44
2012-12-30,35
2012-12-31,34
