"start","end","David.movie."
2012-12-02,2012-12-08,19
2012-12-09,2012-12-15,26
2012-12-16,2012-12-22,24
2012-12-23,2012-12-29,27
2012-12-30,2013-01-05,41
2013-01-06,2013-01-12,50
2013-01-13,2013-01-19,50
2013-01-20,2013-01-26,50
2013-01-27,2013-02-02,100
2013-02-03,2013-02-09,99
2013-02-10,2013-02-16,57
2013-02-17,2013-02-23,42
2013-02-24,2013-03-02,37
2013-03-03,2013-03-09,30
2013-03-10,2013-03-16,29
2013-03-17,2013-03-23,26
2013-03-24,2013-03-30,26
2013-03-31,2013-04-06,25
2013-04-07,2013-04-13,26
2013-04-14,2013-04-20,25
2013-04-21,2013-04-27,24
2013-04-28,2013-05-04,23
2013-05-05,2013-05-11,24
2013-05-12,2013-05-18,21
2013-05-19,2013-05-25,23
2013-05-26,2013-06-01,23
2013-06-02,2013-06-08,25
2013-06-09,2013-06-15,22
2013-06-16,2013-06-22,22
2013-06-23,2013-06-29,21
2013-06-30,2013-07-06,23
2013-07-07,2013-07-13,23
2013-07-14,2013-07-20,22
2013-07-21,2013-07-27,24
2013-07-28,2013-08-03,24
2013-08-04,2013-08-10,26
2013-08-11,2013-08-17,28
2013-08-18,2013-08-24,25
2013-08-25,2013-08-31,22
