"start","Dil.Dhadakne.Do.movie."
2015-04-01,3
2015-04-02,7
2015-04-03,4
2015-04-04,4
2015-04-05,4
2015-04-06,3
2015-04-07,6
2015-04-08,4
2015-04-09,5
2015-04-10,16
2015-04-11,19
2015-04-12,10
2015-04-13,11
2015-04-14,11
2015-04-15,36
2015-04-16,47
2015-04-17,36
2015-04-18,33
2015-04-19,22
2015-04-20,19
2015-04-21,14
2015-04-22,13
2015-04-23,24
2015-04-24,27
2015-04-25,28
2015-04-26,24
2015-04-27,19
2015-04-28,22
2015-04-29,20
2015-04-30,26
2015-05-01,27
2015-05-02,45
2015-05-03,34
2015-05-04,32
2015-05-05,29
2015-05-06,27
2015-05-07,29
2015-05-08,36
2015-05-09,38
2015-05-10,33
2015-05-11,31
2015-05-12,41
2015-05-13,35
2015-05-14,46
2015-05-15,43
2015-05-16,44
2015-05-17,53
2015-05-18,37
2015-05-19,36
2015-05-20,42
2015-05-21,46
2015-05-22,54
2015-05-23,59
2015-05-24,54
2015-05-25,45
2015-05-26,48
2015-05-27,49
2015-05-28,49
2015-05-29,78
2015-05-30,89
2015-05-31,100
