"start","end","Everest.movie."
2015-04-05,2015-04-11,0
2015-04-12,2015-04-18,0
2015-04-19,2015-04-25,1
2015-04-26,2015-05-02,1
2015-05-03,2015-05-09,0
2015-05-10,2015-05-16,1
2015-05-17,2015-05-23,0
2015-05-24,2015-05-30,0
2015-05-31,2015-06-06,4
2015-06-07,2015-06-13,3
2015-06-14,2015-06-20,2
2015-06-21,2015-06-27,2
2015-06-28,2015-07-04,2
2015-07-05,2015-07-11,2
2015-07-12,2015-07-18,2
2015-07-19,2015-07-25,2
2015-07-26,2015-08-01,2
2015-08-02,2015-08-08,3
2015-08-09,2015-08-15,3
2015-08-16,2015-08-22,4
2015-08-23,2015-08-29,5
2015-08-30,2015-09-05,16
2015-09-06,2015-09-12,23
2015-09-13,2015-09-19,70
2015-09-20,2015-09-26,100
2015-09-27,2015-10-03,70
