"start","end","Fantastic.Four.movie."
2015-04-05,2015-04-11,7
2015-04-12,2015-04-18,8
2015-04-19,2015-04-25,12
2015-04-26,2015-05-02,11
2015-05-03,2015-05-09,11
2015-05-10,2015-05-16,8
2015-05-17,2015-05-23,7
2015-05-24,2015-05-30,7
2015-05-31,2015-06-06,7
2015-06-07,2015-06-13,8
2015-06-14,2015-06-20,8
2015-06-21,2015-06-27,9
2015-06-28,2015-07-04,10
2015-07-05,2015-07-11,12
2015-07-12,2015-07-18,20
2015-07-19,2015-07-25,18
2015-07-26,2015-08-01,23
2015-08-02,2015-08-08,89
2015-08-09,2015-08-15,100
2015-08-16,2015-08-22,69
2015-08-23,2015-08-29,51
2015-08-30,2015-09-05,33
