"start","Filmistaan.movie."
2014-04-01,0
2014-04-02,0
2014-04-03,0
2014-04-04,0
2014-04-05,10
2014-04-06,8
2014-04-07,8
2014-04-08,8
2014-04-09,9
2014-04-10,9
2014-04-11,9
2014-04-12,10
2014-04-13,9
2014-04-14,9
2014-04-15,9
2014-04-16,9
2014-04-17,28
2014-04-18,39
2014-04-19,25
2014-04-20,36
2014-04-21,42
2014-04-22,14
2014-04-23,9
2014-04-24,26
2014-04-25,18
2014-04-26,31
2014-04-27,20
2014-04-28,17
2014-04-29,17
2014-04-30,17
2014-05-01,14
2014-05-02,9
2014-05-03,20
2014-05-04,13
2014-05-05,9
2014-05-06,17
2014-05-07,8
2014-05-08,9
2014-05-09,13
2014-05-10,15
2014-05-11,13
2014-05-12,19
2014-05-13,8
2014-05-14,8
2014-05-15,43
2014-05-16,9
2014-05-17,10
2014-05-18,15
2014-05-19,17
2014-05-20,9
2014-05-21,14
2014-05-22,9
2014-05-23,39
2014-05-24,51
2014-05-25,34
2014-05-26,35
2014-05-27,70
2014-05-28,62
2014-05-29,83
2014-05-30,69
2014-05-31,100
