"start","end","Gabbar.Is.Back.movie."
2015-03-01,2015-03-07,0
2015-03-08,2015-03-14,1
2015-03-15,2015-03-21,1
2015-03-22,2015-03-28,3
2015-03-29,2015-04-04,4
2015-04-05,2015-04-11,8
2015-04-12,2015-04-18,11
2015-04-19,2015-04-25,11
2015-04-26,2015-05-02,49
2015-05-03,2015-05-09,100
2015-05-10,2015-05-16,64
2015-05-17,2015-05-23,44
2015-05-24,2015-05-30,32
2015-05-31,2015-06-06,26
2015-06-07,2015-06-13,22
2015-06-14,2015-06-20,18
2015-06-21,2015-06-27,15
2015-06-28,2015-07-04,15
2015-07-05,2015-07-11,14
2015-07-12,2015-07-18,14
2015-07-19,2015-07-25,18
2015-07-26,2015-08-01,12
2015-08-02,2015-08-08,11
2015-08-09,2015-08-15,12
2015-08-16,2015-08-22,11
2015-08-23,2015-08-29,8
2015-08-30,2015-09-05,7
