"start","Gori.Tere.Pyaar.Mein.movie."
2013-09-01,0
2013-09-02,1
2013-09-03,1
2013-09-04,1
2013-09-05,1
2013-09-06,1
2013-09-07,1
2013-09-08,1
2013-09-09,1
2013-09-10,3
2013-09-11,4
2013-09-12,2
2013-09-13,3
2013-09-14,1
2013-09-15,2
2013-09-16,2
2013-09-17,1
2013-09-18,2
2013-09-19,2
2013-09-20,1
2013-09-21,1
2013-09-22,1
2013-09-23,1
2013-09-24,1
2013-09-25,1
2013-09-26,2
2013-09-27,1
2013-09-28,2
2013-09-29,2
2013-09-30,2
2013-10-01,2
2013-10-02,2
2013-10-03,2
2013-10-04,1
2013-10-05,2
2013-10-06,1
2013-10-07,1
2013-10-08,1
2013-10-09,1
2013-10-10,3
2013-10-11,2
2013-10-12,2
2013-10-13,4
2013-10-14,4
2013-10-15,3
2013-10-16,3
2013-10-17,6
2013-10-18,4
2013-10-19,6
2013-10-20,4
2013-10-21,5
2013-10-22,4
2013-10-23,4
2013-10-24,5
2013-10-25,7
2013-10-26,6
2013-10-27,8
2013-10-28,4
2013-10-29,5
2013-10-30,5
2013-10-31,7
2013-11-01,9
2013-11-02,6
2013-11-03,6
2013-11-04,5
2013-11-05,6
2013-11-06,5
2013-11-07,5
2013-11-08,7
2013-11-09,8
2013-11-10,8
2013-11-11,7
2013-11-12,6
2013-11-13,6
2013-11-14,5
2013-11-15,9
2013-11-16,12
2013-11-17,14
2013-11-18,11
2013-11-19,9
2013-11-20,10
2013-11-21,23
2013-11-22,69
2013-11-23,100
2013-11-24,85
2013-11-25,66
2013-11-26,55
2013-11-27,56
2013-11-28,58
2013-11-29,59
2013-11-30,63
