"start","Grand.Masti.movie."
2013-07-01,0
2013-07-02,0
2013-07-03,0
2013-07-04,0
2013-07-05,0
2013-07-06,0
2013-07-07,0
2013-07-08,0
2013-07-09,0
2013-07-10,0
2013-07-11,0
2013-07-12,0
2013-07-13,0
2013-07-14,0
2013-07-15,0
2013-07-16,0
2013-07-17,0
2013-07-18,2
2013-07-19,2
2013-07-20,2
2013-07-21,3
2013-07-22,2
2013-07-23,2
2013-07-24,2
2013-07-25,2
2013-07-26,2
2013-07-27,3
2013-07-28,2
2013-07-29,3
2013-07-30,2
2013-07-31,2
2013-08-01,2
2013-08-02,2
2013-08-03,2
2013-08-04,2
2013-08-05,2
2013-08-06,2
2013-08-07,2
2013-08-08,2
2013-08-09,3
2013-08-10,4
2013-08-11,4
2013-08-12,3
2013-08-13,4
2013-08-14,4
2013-08-15,5
2013-08-16,5
2013-08-17,6
2013-08-18,6
2013-08-19,4
2013-08-20,5
2013-08-21,4
2013-08-22,5
2013-08-23,6
2013-08-24,7
2013-08-25,7
2013-08-26,4
2013-08-27,5
2013-08-28,5
2013-08-29,5
2013-08-30,5
2013-08-31,6
2013-09-01,6
2013-09-02,5
2013-09-03,5
2013-09-04,5
2013-09-05,6
2013-09-06,7
2013-09-07,8
2013-09-08,9
2013-09-09,7
2013-09-10,9
2013-09-11,10
2013-09-12,17
2013-09-13,74
2013-09-14,100
2013-09-15,91
2013-09-16,76
2013-09-17,72
2013-09-18,65
2013-09-19,68
2013-09-20,69
2013-09-21,81
2013-09-22,65
2013-09-23,51
2013-09-24,46
2013-09-25,44
2013-09-26,41
2013-09-27,44
2013-09-28,54
2013-09-29,44
2013-09-30,31
