"start","Humpty.Sharma.Ki.Dulhania.movie."
2014-05-01,1
2014-05-02,1
2014-05-03,3
2014-05-04,1
2014-05-05,2
2014-05-06,2
2014-05-07,2
2014-05-08,2
2014-05-09,1
2014-05-10,2
2014-05-11,2
2014-05-12,2
2014-05-13,2
2014-05-14,2
2014-05-15,2
2014-05-16,2
2014-05-17,4
2014-05-18,3
2014-05-19,2
2014-05-20,2
2014-05-21,9
2014-05-22,8
2014-05-23,6
2014-05-24,6
2014-05-25,8
2014-05-26,21
2014-05-27,21
2014-05-28,17
2014-05-29,12
2014-05-30,11
2014-05-31,13
2014-06-01,19
2014-06-02,14
2014-06-03,14
2014-06-04,18
2014-06-05,23
2014-06-06,28
2014-06-07,56
2014-06-08,73
2014-06-09,47
2014-06-10,43
2014-06-11,52
2014-06-12,59
2014-06-13,65
2014-06-14,86
2014-06-15,76
2014-06-16,75
2014-06-17,70
2014-06-18,72
2014-06-19,81
2014-06-20,81
2014-06-21,90
2014-06-22,89
2014-06-23,68
2014-06-24,59
2014-06-25,67
2014-06-26,62
2014-06-27,79
2014-06-28,96
2014-06-29,100
2014-06-30,72
