"start","I..Hindi..movie."
2014-12-01,4
2014-12-02,4
2014-12-03,4
2014-12-04,4
2014-12-05,4
2014-12-06,6
2014-12-07,6
2014-12-08,3
2014-12-09,4
2014-12-10,4
2014-12-11,3
2014-12-12,3
2014-12-13,5
2014-12-14,6
2014-12-15,3
2014-12-16,4
2014-12-17,4
2014-12-18,5
2014-12-19,7
2014-12-20,7
2014-12-21,8
2014-12-22,6
2014-12-23,6
2014-12-24,7
2014-12-25,12
2014-12-26,11
2014-12-27,12
2014-12-28,9
2014-12-29,12
2014-12-30,18
2014-12-31,16
2015-01-01,17
2015-01-02,15
2015-01-03,14
2015-01-04,14
2015-01-05,13
2015-01-06,15
2015-01-07,14
2015-01-08,16
2015-01-09,18
2015-01-10,20
2015-01-11,18
2015-01-12,19
2015-01-13,22
2015-01-14,52
2015-01-15,66
2015-01-16,83
2015-01-17,100
2015-01-18,84
2015-01-19,72
2015-01-20,66
2015-01-21,67
2015-01-22,66
2015-01-23,61
2015-01-24,63
2015-01-25,55
2015-01-26,41
2015-01-27,42
2015-01-28,38
2015-01-29,39
2015-01-30,36
2015-01-31,44
