"start","Jackpot.movie."
2013-10-01,0
2013-10-02,0
2013-10-03,0
2013-10-04,0
2013-10-05,1
2013-10-06,1
2013-10-07,0
2013-10-08,0
2013-10-09,0
2013-10-10,0
2013-10-11,0
2013-10-12,1
2013-10-13,1
2013-10-14,1
2013-10-15,1
2013-10-16,0
2013-10-17,1
2013-10-18,1
2013-10-19,1
2013-10-20,0
2013-10-21,0
2013-10-22,0
2013-10-23,1
2013-10-24,0
2013-10-25,1
2013-10-26,0
2013-10-27,1
2013-10-28,3
2013-10-29,11
2013-10-30,8
2013-10-31,9
2013-11-01,8
2013-11-02,8
2013-11-03,8
2013-11-04,7
2013-11-05,8
2013-11-06,8
2013-11-07,10
2013-11-08,12
2013-11-09,13
2013-11-10,14
2013-11-11,14
2013-11-12,16
2013-11-13,20
2013-11-14,17
2013-11-15,18
2013-11-16,18
2013-11-17,17
2013-11-18,16
2013-11-19,16
2013-11-20,18
2013-11-21,17
2013-11-22,17
2013-11-23,21
2013-11-24,19
2013-11-25,15
2013-11-26,17
2013-11-27,19
2013-11-28,20
2013-11-29,18
2013-11-30,21
2013-12-01,18
2013-12-02,16
2013-12-03,18
2013-12-04,18
2013-12-05,18
2013-12-06,20
2013-12-07,23
2013-12-08,24
2013-12-09,23
2013-12-10,24
2013-12-11,27
2013-12-12,48
2013-12-13,96
2013-12-14,100
2013-12-15,78
2013-12-16,65
2013-12-17,53
2013-12-18,48
2013-12-19,47
2013-12-20,39
2013-12-21,43
2013-12-22,38
2013-12-23,29
2013-12-24,32
2013-12-25,33
2013-12-26,27
2013-12-27,25
2013-12-28,28
2013-12-29,24
2013-12-30,21
2013-12-31,22
