"start","Mr..X.movie."
2015-03-01,1
2015-03-02,1
2015-03-03,1
2015-03-04,1
2015-03-05,6
2015-03-06,5
2015-03-07,5
2015-03-08,6
2015-03-09,5
2015-03-10,4
2015-03-11,3
2015-03-12,4
2015-03-13,5
2015-03-14,3
2015-03-15,10
2015-03-16,13
2015-03-17,11
2015-03-18,13
2015-03-19,15
2015-03-20,16
2015-03-21,25
2015-03-22,16
2015-03-23,16
2015-03-24,16
2015-03-25,20
2015-03-26,15
2015-03-27,23
2015-03-28,23
2015-03-29,22
2015-03-30,16
2015-03-31,16
2015-04-01,20
2015-04-02,23
2015-04-03,21
2015-04-04,23
2015-04-05,21
2015-04-06,19
2015-04-07,18
2015-04-08,15
2015-04-09,18
2015-04-10,20
2015-04-11,22
2015-04-12,25
2015-04-13,22
2015-04-14,27
2015-04-15,22
2015-04-16,32
2015-04-17,82
2015-04-18,100
2015-04-19,76
2015-04-20,62
2015-04-21,58
2015-04-22,48
2015-04-23,47
2015-04-24,45
2015-04-25,53
2015-04-26,45
2015-04-27,33
2015-04-28,29
2015-04-29,28
2015-04-30,31
