"start","end","Phantom.movie."
2014-12-07,2014-12-13,72
2014-12-14,2014-12-20,75
2014-12-21,2014-12-27,93
2014-12-28,2015-01-03,97
2015-01-04,2015-01-10,95
2015-01-11,2015-01-17,85
2015-01-18,2015-01-24,94
2015-01-25,2015-01-31,75
2015-02-01,2015-02-07,77
2015-02-08,2015-02-14,97
2015-02-15,2015-02-21,87
2015-02-22,2015-02-28,72
2015-03-01,2015-03-07,67
2015-03-08,2015-03-14,70
2015-03-15,2015-03-21,72
2015-03-22,2015-03-28,97
2015-03-29,2015-04-04,100
2015-04-05,2015-04-11,91
2015-04-12,2015-04-18,90
2015-04-19,2015-04-25,97
2015-04-26,2015-05-02,97
