"start","Queen.movie."
2013-12-01,60
2013-12-02,43
2013-12-03,33
2013-12-04,34
2013-12-05,39
2013-12-06,43
2013-12-07,57
2013-12-08,48
2013-12-09,37
2013-12-10,38
2013-12-11,41
2013-12-12,39
2013-12-13,42
2013-12-14,57
2013-12-15,54
2013-12-16,42
2013-12-17,38
2013-12-18,41
2013-12-19,39
2013-12-20,45
2013-12-21,55
2013-12-22,64
2013-12-23,60
2013-12-24,62
2013-12-25,85
2013-12-26,66
2013-12-27,65
2013-12-28,65
2013-12-29,77
2013-12-30,59
2013-12-31,59
2014-01-01,68
2014-01-02,60
2014-01-03,85
2014-01-04,70
2014-01-05,68
2014-01-06,51
2014-01-07,47
2014-01-08,53
2014-01-09,48
2014-01-10,52
2014-01-11,71
2014-01-12,78
2014-01-13,66
2014-01-14,58
2014-01-15,60
2014-01-16,67
2014-01-17,74
2014-01-18,100
2014-01-19,86
2014-01-20,60
2014-01-21,61
2014-01-22,56
2014-01-23,59
2014-01-24,67
2014-01-25,77
2014-01-26,76
2014-01-27,67
2014-01-28,57
2014-01-29,63
2014-01-30,63
2014-01-31,77
2014-02-01,87
2014-02-02,89
2014-02-03,65
2014-02-04,62
2014-02-05,64
2014-02-06,49
2014-02-07,64
2014-02-08,87
2014-02-09,81
2014-02-10,63
2014-02-11,53
2014-02-12,59
2014-02-13,58
2014-02-14,62
2014-02-15,87
2014-02-16,84
2014-02-17,65
2014-02-18,60
2014-02-19,65
2014-02-20,68
2014-02-21,72
2014-02-22,95
2014-02-23,96
2014-02-24,69
2014-02-25,68
2014-02-26,69
2014-02-27,81
2014-02-28,96
