"start","end","Yeh.Jawaani.Hai.Deewani.movie."
2013-03-03,2013-03-09,0
2013-03-10,2013-03-16,0
2013-03-17,2013-03-23,1
2013-03-24,2013-03-30,3
2013-03-31,2013-04-06,4
2013-04-07,2013-04-13,7
2013-04-14,2013-04-20,7
2013-04-21,2013-04-27,7
2013-04-28,2013-05-04,7
2013-05-05,2013-05-11,7
2013-05-12,2013-05-18,7
2013-05-19,2013-05-25,12
2013-05-26,2013-06-01,52
2013-06-02,2013-06-08,100
2013-06-09,2013-06-15,72
2013-06-16,2013-06-22,61
2013-06-23,2013-06-29,53
2013-06-30,2013-07-06,48
2013-07-07,2013-07-13,41
2013-07-14,2013-07-20,40
2013-07-21,2013-07-27,31
2013-07-28,2013-08-03,28
