movies,T1,T2,T3,T4,T5,T6,W1,W2,W3,W4,W5,W6,lang,gross
2 States,1380,1128,812,616,422,233,58.51,23.73,10.74,4.91,2.59,0.6841,H,102.03
300 Rise of an Empire,800,639,410,NA,NA,NA,22.6,4.16,4.16,NA,NA,NA,E,28.56
47 Ronin,272,100,NA,NA,NA,NA,1.45,0.1,NA,NA,NA,NA,E,1.55
A Good Day To Die Hard ,650,275,150,75,NA,NA,5.25,1,0.1,0.05,NA,NA,E,6.4
Aatma,1325,441,27,36,8,5,8.26,0.4474,0.0274,0.0233,0.0105,0.004715,H,8.78
ABCD 2,1794,1400,996,562,40,18,70.8,24.72,7.08,1.6,0.0808,0.0264,H,104.33
Action Jackson,2375,1231,163,68,30,13,45.16,11.76,0.2525,0.1136,0.0511,0.023,H,57.78
After Earth,530,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,E,6
All Is Well,1400,198,32,15,7,NA,15.3,0.3774,0.034,0.0153,0.006878,NA,H,15.73
Alone,1620,540,53,23,10,4,17.1,2.1,0.1363,0.0205,0.009203,0.004141,H,19.37
Aurangzeb,1200,807,120,94,46,22,18.47,3.43,0.1713,0.1456,0.0728,0.04,H,22.35
Baby,1752,1292,617,439,211,52,50.71,16.98,6.34,2.67,1.07,0.2669,H,78.77
Bahubali (Hindi),1358,881,776,752,642,480,41.29,24.38,21.51,10.7,5.12,2.93,H,110.94
Bajrangi Bhaijaan,2553,2238,1060,840,594,414,184.62,86.96,28.73,11.26,3.38,1.17,H,316.79
Bang Bang,2308,1724,1188,223,65,30,115.25,20.89,7.8,0.7415,0.1112,0.0501,H,144.86
Besharam,2063,810,110,15,1,1,49.76,4.1,0.15,0.1,0.0002,0.0002,H,54.02
Bewakoofiyaan,1461,800,56,NA,NA,NA,11.37,1.02,0.0716,NA,NA,NA,H,12.46
Bhaag Milkha Bhaag,1450,1062,963,659,390,238,52.83,25.59,16.28,9.8,2.37,0.9469,H,108.93
Bhoot Returns,935,312,27,NA,NA,NA,4.69,0.2347,0.0258,NA,NA,NA,H,4.96
Bhoothnath Returns,1310,835,475,213,45,21,27.3,6.79,1.09,0.2543,0.0414,0.0186,H,35.51
Bhopal A Prayer For Rain,364,82,20,8,4,4,1.11,0.1614,0.526,0.237,0.107,0.004795,H,1.36
Bombay Talkies,356,300,210,94,14,9,5.64,2.18,0.4452,0.2003,0.01,0.008515,H,8.49
Bombay Velvet,1752,765,15,7,4,1,21.15,0.9578,0.0192,0.00862,0.003879,0.001745,H,22.14
Brothers,2405,1114,185,38,17,7,71.24,7.08,0.5158,0.0236,0.0106,0.004788,H,78.87
Chashme Baddoor,1325,943,560,410,85,32,29.31,8.74,2.38,1.07,0.0971,0.0437,H,41.68
Chennai Express,2380,1715,1192,552,450,150,151.93,42.61,16.74,5.68,0.98,0.53,H,218.53
D-Day,1031,556,278,72,61,50,14.61,3.26,1.33,0.0961,0.0817,0.0695,H,19.56
Daawat-e-Ishq,1507,871,73,22,10,5,20.23,4.43,0.0664,0.0299,0.134,0.006052,H,24.76
Dabangg 2,2163,1871,1273,471,158,65,100.37,36.44,10.64,2.65,0.4984,0.205,H,150.83
David,584,75,8,6,NA,NA,3.3,0.03999,0.0165,0.015,NA,NA,H,3.37
Dawn of the Planet of the Apes,700,410,146,NA,NA,NA,12.2,1.75,0.1,NA,NA,NA,E,14.05
Dedh Ishqiya,1024,816,342,230,103,39,17.98,6.41,0.756,0.5311,0.239,0.0358,H,25.97
Dhoom 3,2619,2348,1588,932,420,100,172.82,63.45,19.22,4.52,1.04,0.1055,H,261.25
Dil Dhadakne Do,1248,1019,494,334,226,101,56.06,14.61,3.68,1.47,0.3091,0.1391,H,76.31
Dirty Politics,1021,177,80,36,16,7,5.91,0.2164,0.0974,0.0438,0.0197,0.008172,H,6.3
Dolly Ki Doli,1033,800,38,17,7,NA,11.68,1.15,0.797,0.0359,0.0161,NA,H,12.96
Dragon Blade,667,NA,NA,NA,NA,NA,1.95,NA,NA,NA,NA,NA,E,1.95
Drishyam,1595,1262,775,656,412,114,44.26,17.16,7.55,3.38,1.17,0.2887,H,75.09
Dum Laga Ke Haisha,769,734,663,457,387,61,8.8,9.52,4.8,2.24,1.79,0.2798,H,28.61
Ek Villain,1788,1295,589,88,40,32,72.34,21.82,3.05,0.3293,0.1482,0.0667,H,98.86
Everest,550,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,E,7.5
Exodus Gods and Kings,725,430,75,NA,NA,NA,11,2,0.1,NA,NA,NA,E,13.1
Fantastic Four,700,75,NA,NA,NA,NA,6.25,0.17,NA,NA,NA,NA,E,6.42
Filmistaan,405,264,146,222,10,9,4.55,1.03,0.564,0.0846,0.0381,0.0171,E,6.28
Finding Fanny,830,440,246,22,10,NA,23.33,3.64,0.5868,0.0428,0.0193,NA,H,27.61
Furious 7,800,352,157,NA,NA,NA,69.65,20,7,NA,NA,NA,E,96.65
Gabbar Is Back,2235,1474,730,480,216,97,55.76,17.73,4,1.24,0.5575,0.2509,H,78.77
Go Goa Gone,1135,744,410,57,28,14,18.63,4.52,1.86,0.0928,0.0355,0.0177,H,25.16
Godzilla,800,NA,NA,NA,NA,NA,22.4,NA,NA,NA,NA,NA,E,22.4
Gori Tere Pyaar Mein,1191,656,411,176,NA,5,12.37,3.58,0.2224,0.1001,NA,0.0128,H,16.32
Grand Masti,1847,1237,1081,454,263,157,65.49,17.51,6.82,1.15,0.5086,0.1446,H,93.81
Gunday,1922,1408,930,94,32,8,59.06,11.73,1.87,0.1679,0.0656,0.0164,H,72.91
Haider,1056,860,711,166,42,19,35.17,10.66,3.65,0.4262,0.0918,0.0413,H,50.06
Hamari Adhuri Kahani,1206,751,471,94,24,11,26.49,4.38,1.22,0.208,0.0312,0.014,H,32.35
Happy Ending,1508,418,25,7,3,NA,18.32,1.06,0.633,0.0181,0.00814,NA,H,19.47
Hasee Toh Phasee,1251,681,420,75,12,5,25.51,7.38,1.92,0.3463,0.0119,0.005374,H,35.18
Hate Story 2,1397,404,168,75,33,15,21.82,13.07,0.1827,0.0822,0.037,0.0166,H,23.46
Heropanti,1493,1154,362,168,75,32,34.16,14.03,1.96,0.2937,0.1322,0.0595,H,50.69
Highway,827,604,206,156,36,17,21.73,5.2,1.12,0.5504,0.1266,0.057,H,28.81
Himmatwala,2132,1240,342,64,35,23,40.53,6.18,0.4178,0.188,0.0846,0.0381,H,47.45
Holiday ,1970,1518,832,384,170,75,65.8,30.72,10.27,2.15,0.4386,0.196,H,110
Horror Story,910,113,85,55,35,20,4.43,0.2248,0.1012,0.0399,0.0259,0.0137,H,4.83
Humpty Sharma Ki Dulhania,1519,1066,295,221,85,38,51.58,19.29,3.09,1.08,0.1099,0.0495,H,75.23
Humshakals,1890,932,132,34,15,7,51.35,4.05,0.0463,0.0208,0.009375,0.005219,H,55.48
Hunterrr,986,657,63,28,22,10,7.96,2.46,0.2228,0.0803,0.0361,0.0163,H,10.77
I (Hindi),1280,734,183,82,36,16,9.66,1.08,0.27,0.1215,0.0547,0.0246,H,11.22
Iron Man 3,900,550,300,250,NA,NA,34.5,8,1.5,0.5,NA,NA,E,44.5
Jackpot,1255,137,96,44,19,9,4.97,0.0995,0.0846,0.0381,0.0171,0.007707,H,5.23
Jai Ho,2315,1517,1085,259,106,48,84.46,19.77,3.36,0.2996,0.1048,0.0472,H,108.05
Jazbaa,1254,NA,NA,NA,NA,NA,20.3,NA,NA,NA,NA,NA,H,20.3
Jolly LLB,746,590,427,190,99,40,19.03,8.8,2.17,0.7551,0.3851,0.1733,H,31.43
Jurassic World,1700,1252,1000,725,500,45,39.9,16,11.5,7.5,2.8,0.5,E,77.3
Kai Po Che,645,490,425,402,310,96,27.47,12.85,4.97,1.74,0.9393,0.364,H,48.58
Katti Batti,950,429,38,18,NA,NA,21.27,1.83,0.0366,0.0165,NA,NA,H,23.31
Khoobsurat,852,515,108,26,12,6,16.11,7.76,0.7545,0.0732,0.0329,0.0148,H,24.75
Kill Dil,1854,687,168,75,18,8,27.32,2.49,0.2237,0.1006,0.0152,0.006823,H,30.16
Kingsman The Secret Service,500,220,NA,NA,NA,NA,4.25,1.85,NA,NA,NA,NA,E,6.1
Krrish 3,2524,2047,1069,710,548,410,139.68,45.93,8.72,2.62,0.9471,0.4094,H,198.63
Lingaa (Hindi),835,396,35,15,8,4,3.95,0.9307,0.0838,0.0377,0.017,0.007633,E,5.03
Mere Dad Ki Maruti,870,600,386,130,21,21,7.45,2.48,1.07,0.3196,0.163,0.0733,H,11.55
Mission Impossible Rogue Nation,820,510,NA,NA,NA,NA,38,10,NA,NA,NA,NA,E,48
